Date,OMRXTBILL90
4/28/2016,356.67
4/29/2016,356.66
5/2/2016,356.66
5/3/2016,356.64
5/4/2016,356.62
5/6/2016,356.61
5/9/2016,356.61
5/10/2016,356.61
5/11/2016,356.6
5/12/2016,356.58
5/13/2016,356.57
5/16/2016,356.57
5/17/2016,356.56
5/18/2016,356.55
5/19/2016,356.53
5/20/2016,356.53
5/23/2016,356.52
5/24/2016,356.51
5/25/2016,356.51
5/26/2016,356.49
5/27/2016,356.48
5/30/2016,356.46
5/31/2016,356.46
6/1/2016,356.46
6/2/2016,356.44
6/3/2016,356.44
6/7/2016,356.43
6/8/2016,356.43
6/9/2016,356.41
6/10/2016,356.4
6/13/2016,356.39
6/14/2016,356.4
6/15/2016,356.39
6/16/2016,356.37
6/17/2016,356.36
6/20/2016,356.36
6/21/2016,356.35
6/22/2016,356.32
6/23/2016,356.31
6/27/2016,356.31
6/28/2016,356.31
6/29/2016,356.31
6/30/2016,356.32
7/1/2016,356.31
7/4/2016,356.3
7/5/2016,356.3
7/6/2016,356.28
7/7/2016,356.27
7/8/2016,356.26
7/11/2016,356.26
7/12/2016,356.25
7/13/2016,356.24
7/14/2016,356.22
7/15/2016,356.21
7/18/2016,356.2
7/19/2016,356.2
7/20/2016,356.2
7/21/2016,356.18
7/22/2016,356.17
7/25/2016,356.16
7/26/2016,356.16
7/27/2016,356.16
7/28/2016,356.13
7/29/2016,356.14
8/1/2016,356.13
8/2/2016,356.13
8/3/2016,356.14
8/4/2016,356.12
8/5/2016,356.11
8/8/2016,356.11
8/9/2016,356.1
8/10/2016,356.09
8/11/2016,356.07
8/12/2016,356.06
8/15/2016,356.05
8/16/2016,356.04
8/17/2016,356.05
8/18/2016,356.03
8/19/2016,356.02
8/22/2016,356
8/23/2016,356.01
8/24/2016,356
8/25/2016,355.98
8/26/2016,355.96
8/29/2016,355.96
8/30/2016,355.95
8/31/2016,355.94
9/1/2016,355.92
9/2/2016,355.91
9/5/2016,355.9
9/6/2016,355.9
9/7/2016,355.89
9/8/2016,355.87
9/9/2016,355.86
9/12/2016,355.85
9/13/2016,355.85
9/14/2016,355.84
9/15/2016,355.81
9/16/2016,355.8
9/19/2016,355.79
9/20/2016,355.79
9/21/2016,355.78
9/22/2016,355.76
9/23/2016,355.75
9/26/2016,355.74
9/27/2016,355.74
9/28/2016,355.72
9/29/2016,355.7
9/30/2016,355.69
10/3/2016,355.69
10/4/2016,355.68
10/5/2016,355.67
10/6/2016,355.65
10/7/2016,355.64
10/10/2016,355.63
10/11/2016,355.62
10/12/2016,355.61
10/13/2016,355.59
10/14/2016,355.58
10/17/2016,355.58
10/18/2016,355.57
10/19/2016,355.56
10/20/2016,355.54
10/21/2016,355.53
10/24/2016,355.52
10/25/2016,355.52
10/26/2016,355.49
10/27/2016,355.49
10/28/2016,355.48
10/31/2016,355.47
11/1/2016,355.47
11/2/2016,355.46
11/3/2016,355.43
11/4/2016,355.4
11/7/2016,355.44
11/8/2016,355.35
11/9/2016,355.41
11/10/2016,355.41
11/11/2016,355.4
11/14/2016,355.4
11/15/2016,355.39
11/16/2016,355.38
11/17/2016,355.36
11/18/2016,355.35
11/21/2016,355.34
11/22/2016,355.33
11/23/2016,355.34
11/24/2016,355.32
11/25/2016,355.31
11/28/2016,355.3
11/29/2016,355.3
11/30/2016,355.29
12/1/2016,355.26
12/2/2016,355.25
12/5/2016,355.25
12/6/2016,355.24
12/7/2016,355.25
12/8/2016,355.22
12/9/2016,355.21
12/12/2016,355.21
12/13/2016,355.19
12/14/2016,355.19
12/15/2016,355.16
12/16/2016,355.15
12/19/2016,355.15
12/20/2016,355.14
12/21/2016,355.17
12/22/2016,355.13
12/23/2016,355.1
12/27/2016,355.11
12/28/2016,355.11
12/29/2016,355.06
12/30/2016,355
1/2/2017,355.04
1/3/2017,355.02
1/4/2017,354.95
1/5/2017,354.96
1/9/2017,354.94
1/10/2017,354.93
1/11/2017,354.92
1/12/2017,354.89
1/13/2017,354.89
1/16/2017,354.88
1/17/2017,354.87
1/18/2017,354.83
1/19/2017,354.79
1/20/2017,354.78
1/23/2017,354.78
1/24/2017,354.77
1/25/2017,354.76
1/26/2017,354.74
1/27/2017,354.72
1/30/2017,354.71
1/31/2017,354.7
2/1/2017,354.66
2/2/2017,354.64
2/3/2017,354.63
2/6/2017,354.62
2/7/2017,354.6
2/8/2017,354.6
2/9/2017,354.57
2/10/2017,354.56
2/13/2017,354.56
2/14/2017,354.55
2/15/2017,354.51
2/16/2017,354.49
2/17/2017,354.48
2/20/2017,354.47
2/21/2017,354.47
2/22/2017,354.46
2/23/2017,354.43
2/24/2017,354.43
2/27/2017,354.43
2/28/2017,354.41
3/1/2017,354.4
3/2/2017,354.39
3/3/2017,354.39
3/6/2017,354.38
3/7/2017,354.37
3/8/2017,354.36
3/9/2017,354.34
3/10/2017,354.34
3/13/2017,354.33
3/14/2017,354.32
3/15/2017,354.31
3/16/2017,354.29
3/17/2017,354.29
3/20/2017,354.28
3/21/2017,354.27
3/22/2017,354.27
3/23/2017,354.25
3/24/2017,354.24
3/27/2017,354.23
3/28/2017,354.22
3/29/2017,354.22
3/30/2017,354.2
3/31/2017,354.2
4/3/2017,354.18
4/4/2017,354.18
4/5/2017,354.17
4/6/2017,354.15
4/7/2017,354.14
4/10/2017,354.14
4/11/2017,354.13
4/12/2017,354.09
4/13/2017,354.08
4/18/2017,354.07
4/19/2017,354.07
4/20/2017,354.05
4/21/2017,354.04
4/24/2017,354.03
4/25/2017,354.03
4/26/2017,354.02
4/27/2017,354
4/28/2017,353.99
5/2/2017,353.98
5/3/2017,353.98
5/4/2017,353.96
5/5/2017,353.96
5/8/2017,353.94
5/9/2017,353.94
5/10/2017,353.94
5/11/2017,353.91
5/12/2017,353.91
5/15/2017,353.9
5/16/2017,353.9
5/17/2017,353.89
5/18/2017,353.87
5/19/2017,353.86
5/22/2017,353.86
5/23/2017,353.86
5/24/2017,353.84
5/26/2017,353.83
5/29/2017,353.82
5/30/2017,353.82
5/31/2017,353.81
6/1/2017,353.79
6/2/2017,353.78
6/5/2017,353.77
6/7/2017,353.79
6/8/2017,353.76
6/9/2017,353.75
6/12/2017,353.75
6/13/2017,353.74
6/14/2017,353.73
6/15/2017,353.71
6/16/2017,353.71
6/19/2017,353.7
6/20/2017,353.69
6/21/2017,353.71
6/22/2017,353.71
6/26/2017,353.72
6/27/2017,353.71
6/28/2017,353.7
6/29/2017,353.68
6/30/2017,353.67
7/3/2017,353.66
7/4/2017,353.66
7/5/2017,353.65
7/6/2017,353.62
7/7/2017,353.61
7/10/2017,353.6
7/11/2017,353.6
7/12/2017,353.59
7/13/2017,353.57
7/14/2017,353.56
7/17/2017,353.55
7/18/2017,353.55
7/19/2017,353.54
7/20/2017,353.51
7/21/2017,353.51
7/24/2017,353.5
7/25/2017,353.49
7/26/2017,353.48
7/27/2017,353.46
7/28/2017,353.45
7/31/2017,353.44
8/1/2017,353.43
8/2/2017,353.42
8/3/2017,353.39
8/4/2017,353.4
8/7/2017,353.39
8/8/2017,353.36
8/9/2017,353.37
